0,0.0048,0:1,,ALSA Port subscribed,0:1,128:0,
0,0.0083,0:1,,ALSA Port subscribed,128:0,24:0,
4005,8.3445,0:1,,ALSA Port subscribed,14:0,128:0,
4005,8.3464,0:1,,ALSA Port subscribed,24:0,128:0,
5550,11.5642,24:0,1,Control change,11,1,
5583,11.6332,24:0,1,Control change,11,9,
5634,11.7381,24:0,1,Control change,11,13,
5664,11.8001,24:0,1,Control change,11,11,
5807,12.0982,24:0,1,Control change,11,13,
5848,12.1842,24:0,1,Control change,11,21,
5945,12.3862,24:0,1,Control change,11,20,
5979,12.4582,24:0,1,Control change,11,26,
6006,12.5141,24:0,1,Control change,11,35,
6070,12.6462,24:0,1,Control change,11,41,
6080,12.6742,24:0,1,Control change,11,51,
6090,12.6978,24:0,1,Control change,11,61,
6099,12.7184,24:0,1,Control change,11,69,
6115,12.7402,24:0,1,Control change,11,63,
6122,12.7584,24:0,1,Control change,11,53,
6131,12.7758,24:0,1,Control change,11,54,
6144,12.8001,24:0,1,Control change,11,45,
6156,12.8261,24:0,2,Control change,0,0,
6156,12.8303,24:0,2,Control change,32,0,
6157,12.8343,24:0,2,Program change,4,,
6157,12.8384,24:0,3,Control change,0,0,
6157,12.8424,24:0,3,Control change,32,0,
6158,12.8465,24:0,3,Program change,4,,
6158,12.8641,24:0,2,Control change,7,100,
6159,12.8688,24:0,2,Control change,10,64,
6159,12.8733,24:0,2,Control change,91,40,
6159,12.8779,24:0,2,Control change,93,0,
6160,12.8826,24:0,3,Control change,7,100,
6160,12.8875,24:0,3,Control change,10,64,
6160,12.8924,24:0,3,Control change,91,40,
6161,12.8975,24:0,3,Control change,93,0,
6162,12.9026,24:0,1,Control change,11,35,
6192,12.9079,24:0,1,Control change,11,40,
6279,13.0822,24:0,1,Control change,11,35,
6301,13.1281,24:0,1,Control change,11,31,
6325,13.1781,24:0,1,Control change,11,27,
6374,13.2801,24:0,1,Control change,11,19,
6415,13.3661,24:0,1,Control change,11,11,
6452,13.4422,24:0,1,Control change,11,9,
6534,13.6142,24:0,1,Control change,11,2,
6548,13.6654,24:0,1,Control change,11,0,
